FID,country_name,site_name,type,activelayer_name,permafrost_zone,data_start,data_end,longitude,latitude,geom_ref,responsible_person,responsible_person_name,id_orga
calm.1,United States,Happy Valley,Grid,Happy Valley 1km,Continuous,1995,2017,-148.4982,69.1,POINT (-148.498186 69.100007),12,Nikolay Shiklomanov,4
calm.2,United States,Barrow,Grid,Barrow,Continuous,1995,2017,-156.604,71.3168,POINT (-156.604036 71.316807),12,Nikolay Shiklomanov,4
calm.5,United States,Atqasuk,Grid,Atqasuk,Continuous,1995,2017,-157.4047,70.4509,POINT (-157.404665 70.450882),12,Nikolay Shiklomanov,4
calm.6,United States,Betty Pingo,Grid,Betty Pingo,Continuous,1995,2016,-148.8669,70.2848,POINT (-148.866914 70.284779),12,Nikolay Shiklomanov,4
calm.7,United States,Kougarok,Grid,Kougarok,Discontinuous,1999,2015,-164.627,65.4556,POINT (-164.627033 65.455633),12,Nikolay Shiklomanov,4
calm.9,United States,West Dock,Grid,West Dock 1km,Continuous,1995,2017,-148.565,70.3678,POINT (-148.564962 70.367769),12,Nikolay Shiklomanov,4
calm.11,United States,Old Man,Grid,Old Man,Discontinuous,1996,2017,-150.6167,66.45,POINT (-150.616667 66.45),10,Vladimir E. Romanovsky,5
calm.12,United States,Wickersham,Transect,Wickersham,Discontinuous,1972,2015,-148.05,65.2667,POINT (-148.05 65.266667),134,Brian Charlton,71
calm.13,United States,West Dock,Grid,West Dock 1ha,Continuous,1996,2017,-148.55,70.3667,POINT (-148.55 70.366667),10,Vladimir E. Romanovsky,5
calm.14,United States,Dead Horse,Grid,Deadhorse,Continuous,1996,2017,-148.4667,70.1667,POINT (-148.466667 70.166667),10,Vladimir E. Romanovsky,5
calm.15,United States,Franklin Bluff,Grid,Franklin Bluff,Continuous,1996,2017,-148.7167,69.6833,POINT (-148.716667 69.683333),10,Vladimir E. Romanovsky,5
calm.16,United States,Happy Valley,Grid,Happy Valley 1ha,Continuous,1996,2017,-148.8333,69.1667,POINT (-148.833333 69.166667),10,Vladimir E. Romanovsky,5
calm.17,United States,Imnavait,Grid,Imnavait 1km,Continuous,1995,2017,-149.5,68.5,POINT (-149.5 68.5),12,Nikolay Shiklomanov,4
calm.18,United States,Toolik Lake,Grid,Toolik 1km,Continuous,1995,2017,-149.6,68.6167,POINT (-149.6 68.616667),12,Nikolay Shiklomanov,4
calm.19,United States,Galbraith Lake   ,Grid,Galbraith Lake,Continuous,1996,2017,-149.5,68.4833,POINT (-149.5 68.483333),10,Vladimir E. Romanovsky,5
calm.20,United States,Chandalar Shelf,Grid,Chandalar Shelf,Continuous,1996,2017,-149.5833,68.0667,POINT (-149.583333 68.066667),10,Vladimir E. Romanovsky,5
calm.21,United States,Ivotuk,Grid,Ivotuk,Continuous,2000,2014,-155.7351,68.48,POINT (-155.735086 68.48),12,Nikolay Shiklomanov,4
calm.22,United States,Council,Grid,Council,Discontinuous,1999,2015,-163.7143,64.8388,POINT (-163.714283 64.838767),12,Nikolay Shiklomanov,4
calm.23,United States,Sagwon,Grid,Sagwon Hills MNT,Continuous,1995,2015,-148.6703,69.441,POINT (-148.67033 69.441),12,Nikolay Shiklomanov,4
calm.24,United States,Sagwon,Grid,Sagwon Hills MAT,Continuous,,,-148.8056,69.401,POINT (-148.8056 69.401),12,Nikolay Shiklomanov,4
calm.25,Russia,Vorkuta,Grid,Ayach-Yakha,Continuous,1996,2017,64.183,67.583,POINT (64.183 67.583),119,Dmitry Kaverin,64
calm.26,Russia,Vorkuta,Grid,Talnik,Continuous,1998,2017,63.733,67.33,POINT (63.733 67.33),116,Dmitri Zamolodchikov,63
calm.27,Canada,Alexandria Fiord,Grid,Alexandria Fiord,Continuous,1996,2001,-75.9167,78.88,POINT (-75.91666667 78.88002308),108,Greg Henry,54
calm.28,Canada,Mackenzie Delta,Grid,North Head (Grid),Continuous,1998,2008,-134.4619,69.7197,POINT (-134.46194444 69.71972222),11,Mark Nixon,8
calm.29,Canada,Mackenzie Delta,Grid,Taglu (Grid),Discontinuous,1998,2008,-134.9486,69.3692,POINT (-134.94861111 69.36916667),11,Mark Nixon,8
calm.30,Canada,Mackenzie Delta,Grid,Lousy Point (Grid),Continuous,1998,2008,-134.2911,69.2189,POINT (-134.29111111 69.21888889),11,Mark Nixon,8
calm.31,Canada,Mackenzie Delta,Grid,Reindeer Depot (Grid),Discontinuous,2000,2008,-134.1458,68.6847,POINT (-134.14583333 68.68472222),11,Mark Nixon,8
calm.32,Canada,Mackenzie Delta,Grid,Rengleng River (Grid),Discontinuous,1998,2008,-134.1261,67.795,POINT (-134.12611111 67.795),11,Mark Nixon,8
calm.33,Canada,Mackenzie River,Grid,Norman Wells (Grid),Discontinuous,1998,2008,-126.4689,65.1931,POINT (-126.46888889 65.19305556),11,Mark Nixon,8
calm.34,Canada,Mackenzie River,Grid,Willowlake River (Grid),Discontinuous,2001,2008,-123.065,62.6967,POINT (-123.065 62.69666667),11,Mark Nixon,8
calm.35,Canada,Mackenzie River,Grid,Fort Simpson (Grid),Discontinuous,1999,2008,-121.6017,61.8878,POINT (-121.60166667 61.88777778),11,Mark Nixon,8
calm.36,Russia,Ust-Kamchatsky,Grid,Plosky Tolbachik 1,Continuous,2003,2012,160.2896,55.7507,POINT (160.28965 55.7507),31,Andrey Abramov,14
calm.37,Russia,Ust-Kamchatsky,Grid,Plosky Tolbachik 2,Continuous,2004,2012,160.3237,55.765,POINT (160.3237333 55.76496667),31,Andrey Abramov,14
calm.38,Russia,Ust-Kamchatsky,Grid,Tolbachinsky Pass,Continuous,2006,2017,160.5375,55.8909,POINT (160.5375 55.89091667),31,Andrey Abramov,14
calm.39,Switzerland,Schilthorn,Borehole,Schilthorn (PACE),Continuous,,,7.8333,46.55,POINT (7.83333333 46.55),109,Dani Vondermuhll,55
calm.40,Switzerland,Murtèl-Corvatsch,Borehole,Murtèl-Corvatsch (PACE),Discontinuous,,,9.8333,46.4333,POINT (9.83333333 46.43333333),109,Dani Vondermuhll,55
calm.41,Svalbard,Svalbard ,Grid,Kapp Linne,Continuous,,,13.6167,78.05,POINT (13.61666667 78.05),110,Jonas Åkerman,3
calm.42,Sweden,Abisko,Grid,Abisko,Discontinuous,,,18.8333,68.3333,POINT (18.83333333 68.33333333),110,Jonas Åkerman,3
calm.43,Svalbard,Svalbard ,Transect,Kafføyra P2a,Continuous,,,11.8333,78.6833,POINT (11.83333333 78.68333333),111,Marek Julian Grzes,60
calm.44,Svalbard,Svalbard ,Transect,Kafføyra P2b,Continuous,,,11.8333,78.6833,POINT (11.83333333 78.68333333),111,Marek Julian Grzes,60
calm.45,Svalbard,Svalbard ,Transect,Kafføyra P2c,Continuous,,,11.8333,78.6833,POINT (11.83333333 78.68333333),111,Marek Julian Grzes,60
calm.46,Svalbard,Svalbard ,Transect,Calypsostranda,Continuous,,,14.5,77.5667,POINT (14.5 77.56666667),112,Janina Repelewska-Pekala,59
calm.47,Svalbard,Svalbard ,Borehole,Janssonhaugen 1,Continuous,,,16.4667,78.1667,POINT (16.46666667 78.16666667),65,Ketil Isaksen,38
calm.48,Norway,Juvvass,Borehole,Juvvasshøe,Sporadic,,,8.3667,61.6667,POINT (8.36666667 61.66666667),65,Ketil Isaksen,38
calm.49,Svalbard,Svalbard ,Grid,UNISCALM,Continuous,2011,2015,15.75,78.2,POINT (15.75 78.2),113,Ole Humlum,41
calm.50,Greenland,Zackenberg,Grid,Zackenberg ZEROCALM 1,Continuous,1996,2016,-20.5,74.4667,POINT (-20.5 74.46666667),66,Hanne Hvidtfeldt  Christiansen ,41
calm.51,Greenland,Zackenberg,Grid,Zackenberg ZEROCALM 2,Continuous,1996,2016,-20.5,74.4667,POINT (-20.5 74.46666667),66,Hanne Hvidtfeldt  Christiansen ,41
calm.52,Greenland,Disko Island,Grid,Disko Island,Continuous,,,-53.5124,69.2641,POINT (-53.51235962 69.26410521),66,Hanne Hvidtfeldt  Christiansen ,41
calm.54,China,Greater Khingan Range,Borehole,Yutulihe; Northeast China,Sporadic,,,121.3333,50.9333,POINT (121.33333333 50.93333333),43,Lin Zhao,24
calm.55,China,Qinghai,Borehole,Fenghuo Shan,Sporadic,,,97.8667,34.3333,POINT (97.86666667 34.33333333),43,Lin Zhao,24
calm.56,China,Qinghai,Borehole,Ecology Station,Discontinuous,,,92.8833,34.7333,POINT (92.88333333 34.73333333),43,Lin Zhao,24
calm.57,China,Qinghai,Borehole,Wuli,Discontinuous,,,93.6,35.4333,POINT (93.6 35.43333333),43,Lin Zhao,24
calm.58,China,Qinghai,Borehole,Lower Two Rivers,Discontinuous,,,92.7333,34.4667,POINT (92.73333333 34.46666667),43,Lin Zhao,24
calm.59,China,Qinghai,Borehole,Upper Two Rivers,Sporadic,,,91.7333,31.8167,POINT (91.73333333 31.81666667),43,Lin Zhao,24
calm.60,China,Qinghai,Borehole,Kunlun Basin,Discontinuous,,,94.0667,35.6167,POINT (94.06666667 35.61666667),43,Lin Zhao,24
calm.61,China,Tien Shan,Borehole,Glacier Station,Discontinuous,,,87.1167,43.2167,POINT (87.11666667 43.21666667),43,Lin Zhao,24
calm.62,China,Tien Shan,Borehole,Da Xi Gou  (Glacier Station),Discontinuous,,,86.85,43.1167,POINT (86.85 43.11666667),43,Lin Zhao,24
calm.63,China,Tien Shan,Borehole,Deep Borehole CN10,Discontinuous,,,86.85,43.1167,POINT (86.85 43.11666667),43,Lin Zhao,24
calm.64,China,Tien Shan,Borehole,Shallow Borehole CN11,Discontinuous,,,86.8167,43.1,POINT (86.81666667 43.1),43,Lin Zhao,24
calm.65,Russia,Chukotka,Grid,Cape Rogozny,Continuous,1994,2017,176.9667,64.7833,POINT (176.96666667 64.78333333),114,Volodya Razzhivin,61
calm.66,Russia,Chukotka,Grid,Upper Kargoplgyno River,Continuous,1992,1994,177.0667,64.0833,POINT (177.06666667 64.08333333),115,Anatoly Kotov ,62
calm.67,Russia,Chukotka,Grid,Mountain Dionisiya,Continuous,1996,2017,177.2,64.5667,POINT (177.2 64.56666667),114,Volodya Razzhivin,61
calm.68,Russia,Chukotka,Grid,Lavrentiya,Continuous,2000,2017,171.05,65.6,POINT (171.05 65.6),116,Dmitri Zamolodchikov,63
calm.69,Russia,Lorino,Grid,Lorino,Continuous,2010,2017,-171.6302,65.5397,POINT (-171.630229 65.539667),116,Dmitri Zamolodchikov,63
calm.70,Kazakhstan,Karasay,Borehole,Northern Tien Shan K0,Discontinuous,,,76.9167,43.0833,POINT (76.91666667 43.08333333),61,Sergey Marchenko,5
calm.71,Kazakhstan,Karasay,Borehole,Northern Tien Shan K1,Discontinuous,,,76.9167,43.0833,POINT (76.91666667 43.08333333),61,Sergey Marchenko,5
calm.72,Kazakhstan,Karasay,Borehole,Northern Tien Shan K2,Discontinuous,,,76.9167,43.0833,POINT (76.91666667 43.08333333),61,Sergey Marchenko,5
calm.73,Russia,Cherskii,Grid,Mt. Rodinka Control Site,Continuous,2003,2015,161.4,68.7333,POINT (161.4 68.73333333),117,Sergey Davydov,62
calm.74,Russia,Cherskii,Grid,Mt. Rodinka Burn Site,Continuous,2003,2015,161.5333,68.7167,POINT (161.53333333 68.71666667),117,Sergey Davydov,62
calm.75,Russia,Cherskii,Grid,Mt. Rodinka Station,Continuous,2003,2015,161.55,68.7,POINT (161.55 68.7),117,Sergey Davydov,62
calm.76,Russia,Cherskii,Grid,Khomus1,Continuous,2005,2005,153.5833,69.9833,POINT (153.5833333 69.98333333),32,David A. Gilichinsky,14
calm.77,Russia,Cherskii,Grid,Khomus2,Continuous,2005,2005,153.5833,69.9833,POINT (153.5833333 69.98333333),32,David A. Gilichinsky,14
calm.78,Russia,Cherskii,Grid,Andryushkino,Continuous,2005,2017,154.4333,69.1667,POINT (154.4333333 69.16666667),32,David A. Gilichinsky,14
calm.79,Russia,Kytalyk,Grid,Allaiha,Continuous,2004,2017,147.4315,70.5645,POINT (147.4315 70.56454),32,David A. Gilichinsky,14
calm.80,Russia,Cherskii,Grid,Panteleekha River,Continuous,1996,1996,161.2167,68.4167,POINT (161.21666667 68.41666667),117,Sergey Davydov,62
calm.81,Russia,Cherskii,Grid,Yakutskoe Lake,Continuous,1999,2017,159.4893,69.8537,POINT (159.4893333 69.85366667),32,David A. Gilichinsky,14
calm.82,Russia,Cherskii,Grid,Alazeya River,Continuous,1998,2017,154.9741,69.3159,POINT (154.9741 69.31594444),32,David A. Gilichinsky,14
calm.83,Russia,Cherskii,Grid,Lake Akhmelo,Continuous,1996,2017,161.025,68.8322,POINT (161.025 68.83216667),32,David A. Gilichinsky,14
calm.84,Russia,Cherskii,Grid,Malchikovskaya Channel,Continuous,1996,2017,161.4307,68.5195,POINT (161.4306667 68.5195),32,David A. Gilichinsky,14
calm.85,Russia,Cherskii,Grid,Lake Glukhoe,Continuous,1996,2017,160.9572,68.8032,POINT (160.9571667 68.80316667),32,David A. Gilichinsky,14
calm.86,Russia,Cherskii,Grid,Mt. Rodinka GRID,Continuous,1998,2017,161.5038,68.7417,POINT (161.5038333 68.74166667),32,David A. Gilichinsky,14
calm.87,Russia,Cherskii,Grid,Mt. Rodinka PLOT,Continuous,2003,2017,161.5,68.75,POINT (161.5 68.75),32,David A. Gilichinsky,14
calm.88,Russia,Cherskii,Grid,Akhmelo Channel,Continuous,1996,2017,160.9922,68.814,POINT (160.9921667 68.814),32,David A. Gilichinsky,14
calm.89,Russia,Cherskii,Grid,Segodnya Pingo,Continuous,1996,2017,158.8965,69.0881,POINT (158.8965 69.08811111),32,David A. Gilichinsky,14
calm.90,Russia,Cherskii,Grid,Konkovaya River R15a,Continuous,1996,2017,158.4524,69.4096,POINT (158.4524444 69.40961111),32,David A. Gilichinsky,14
calm.91,Russia,Cherskii,Grid,Konkovaya River R15b,Continuous,1999,2017,158.4485,69.4128,POINT (158.4484722 69.41277778),32,David A. Gilichinsky,14
calm.92,Russia,Cherskii,Grid,Chukochya River,Continuous,1996,2017,156.9911,69.4855,POINT (156.9910833 69.4855),32,David A. Gilichinsky,14
calm.93,Russia,Cherskii,Grid,Cape Chukochii R13a,Continuous,1999,2017,159.9199,70.0828,POINT (159.9198667 70.08278333),32,David A. Gilichinsky,14
calm.94,Russia,Cherskii,Grid,Cape Chukochii R13b,Continuous,2000,2017,159.916,70.0833,POINT (159.916 70.08333333),32,David A. Gilichinsky,14
calm.95,Russia,Cherskii,Grid,Kuropatochya River R12a,Continuous,1996,1996,156.63,70.916,POINT (156.63 70.916),32,David A. Gilichinsky,14
calm.96,Russia,Cherskii,Grid,Kuropatochya River R12b,Continuous,1996,1996,156.63,70.916,POINT (156.63 70.916),32,David A. Gilichinsky,14
calm.97,Russia,Norilsk,Grid,Talnakh,Continuous,2008,2017,88.466,69.433,POINT (88.466 69.433),120,Valery Grebenets,65
calm.98,Russia,Yakutsk,Grid,Neleger,Continuous,2008,2017,129.4997,62.3163,POINT (129.499661 62.316255),118,Pavel Konstantinov,45
calm.99,Russia,Yakutsk,Grid,Tuymada,Continuous,2008,2017,129.657,62.0133,POINT (129.656991 62.013306),118,Pavel Konstantinov,45
calm.100,Russia,Igarka,Grid,Igarka,Continuous,2008,2016,86.435,67.482,POINT (86.435 67.482),121,Fedor Zepalov,45
calm.101,Russia,Tiksi,Grid,Bykovsky Cape Plakor,Continuous,2001,2014,129.4187,71.7855,POINT (129.4186667 71.7855),32,David A. Gilichinsky,14
calm.102,Russia,Tiksi,Grid,Bykovsky Cape Alas,Continuous,2004,2017,129.4014,71.7843,POINT (129.4014333 71.78428333),32,David A. Gilichinsky,14
calm.103,Russia,Cape Svyatoy Nos,Grid,Svyatoy Nos Cape,Continuous,2001,2001,141.0102,72.857,POINT (141.0101667 72.857),32,David A. Gilichinsky,14
calm.104,Russia,Tiksi,Grid,Tiksi,Continuous,1997,2000,128.783,71.583,POINT (128.783 71.583),122,Yuji Kodoma,37
calm.105,Russia,Taymyr,Grid,Levinson Lessing Lake,Continuous,,,98.6,74.53,POINT (98.6 74.53),71,Julia Boike,42
calm.106,Russia,Taymyr,Grid,Labaz Lake,Continuous,,,99.5,72.383,POINT (99.5 72.383),123,Martin Sommerkorn,68
calm.107,Russia,Novyi Urengoy,Grid,Yubileynoe 3 WET,Discontinuous,2007,2007,75.8719,65.9503,POINT (75.8718611 65.95033),74,Anna Kurchatova,44
calm.108,Russia,Novyi Urengoy,Grid,Yubileynoe 3 DRY,Discontinuous,2007,2007,75.8724,65.9508,POINT (75.87238889 65.95083),74,Anna Kurchatova,44
calm.109,Russia,Novyi Urengoy,Grid,Yubileynoe 2 DRY,Discontinuous,2007,2007,75.7802,66.0101,POINT (75.78022 66.01005556),74,Anna Kurchatova,44
calm.110,Russia,Novyi Urengoy,Grid,Yubileynoe 2 WET,Discontinuous,2007,2007,75.7796,66.0095,POINT (75.779583 66.009472),74,Anna Kurchatova,44
calm.111,Russia,Vaskiny Dachy,Grid,Vaskiny Dachi 1,Continuous,2007,2015,68.8916,70.2755,POINT (68.8916388 70.2755),124,Artem Khomutov,43
calm.112,Russia,Vaskiny Dachy,Grid,Vaskiny Dachi 2,Continuous,2007,2015,68.8835,70.2955,POINT (68.88347222 70.2955),124,Artem Khomutov,43
calm.113,Russia,Vaskiny Dachy,Grid,Vaskiny Dachi 3,Continuous,2007,2015,68.8413,70.3014,POINT (68.84130556 70.30138889),124,Artem Khomutov,43
calm.114,Russia,Vaskiny Dachy,Grid,Vaskiny Dachi Grid,Continuous,,,68.9,70.283,POINT (68.9 70.283),125,Marina Leibman,43
calm.115,Russia,Gydan Peninsula,Grid,Parisento,Continuous,1992,1995,75.5833,70.1166,POINT (75.5833 70.1166),103,Alexander A. Vasiliev,43
calm.116,Russia,Marre Sale,Grid,Marre Sale,Continuous,1995,2016,66.75,69.7166,POINT (66.75 69.7166),103,Alexander A. Vasiliev,43
calm.117,Russia,Nadym,Grid,Nadym Grid,Discontinuous,1997,2017,72.9166,65.33,POINT (72.9166 65.33),76,Natalia Moskalenko,43
calm.118,Russia,Kola peninsula,Grid,Umbozero,Sporadic,2010,2016,34.182,67.7724,POINT (34.1820458 67.7723958),116,Dmitri Zamolodchikov,63
calm.119,Russia,Bolvansky,Grid,Kashin Island,Continuous,2010,2017,53.85,68.23,POINT (53.85 68.23),78,Galina Malkova,43
calm.120,Russia,Bolvansky,Grid,Bolvansky,Continuous,1999,2017,54.5082,68.2891,POINT (54.50823975 68.28908033),78,Galina Malkova,43
calm.121,Mongolia,Bagnuur,Borehole,Baganuur lake shore,Isolated patches,,,108.2625,47.6889,POINT (108.2625 47.68889),62,Natsagdorj Sharkhuu,39
calm.122,Mongolia,Bagnuur,Borehole,Baganuur depression,Isolated patches,,,108.2944,47.6944,POINT (108.29444 47.69444),62,Natsagdorj Sharkhuu,39
calm.123,Mongolia,Nalaikh,Borehole,Nalaikh north slope,Isolated patches,,,107.25,47.7544,POINT (107.25 47.75444),62,Natsagdorj Sharkhuu,39
calm.124,Mongolia,Nalaikh,Borehole,Nalaikh pingo,Isolated patches,,,107.3,47.7764,POINT (107.3 47.77639),62,Natsagdorj Sharkhuu,39
calm.125,Mongolia,Nalaikh,Borehole,Nalaikh south-eastern slope,Isolated patches,,,107.2917,47.7728,POINT (107.29167 47.77278),62,Natsagdorj Sharkhuu,39
calm.126,Mongolia,Nalaikh,Borehole,Nalaikh thermokarst,Isolated patches,,,107.3383,47.7764,POINT (107.33833 47.77639),62,Natsagdorj Sharkhuu,39
calm.127,Mongolia,Nalaikh,Borehole,Nalaikh south-western slope,Isolated patches,,,107.2875,47.7708,POINT (107.2875 47.77083),62,Natsagdorj Sharkhuu,39
